,userId,recommendations
0,471,"[Row(movieId=27822, rating=8.11668872833252), Row(movieId=2072, rating=7.869462966918945), Row(movieId=3836, rating=7.803142547607422), Row(movieId=535, rating=7.570743083953857), Row(movieId=1965, rating=7.539399147033691)]"
1,463,"[Row(movieId=5992, rating=8.029160499572754), Row(movieId=55363, rating=7.943278789520264), Row(movieId=901, rating=7.7222113609313965), Row(movieId=4062, rating=7.601227760314941), Row(movieId=7123, rating=7.501224517822266)]"
2,496,"[Row(movieId=47997, rating=8.641963005065918), Row(movieId=3503, rating=8.150459289550781), Row(movieId=535, rating=7.870080471038818), Row(movieId=2290, rating=7.505414962768555), Row(movieId=85, rating=7.154530048370361)]"
3,148,"[Row(movieId=2491, rating=8.928021430969238), Row(movieId=102903, rating=6.853058815002441), Row(movieId=50601, rating=6.802355766296387), Row(movieId=112818, rating=6.785117149353027), Row(movieId=2880, rating=6.745946884155273)]"
4,540,"[Row(movieId=2672, rating=6.920907020568848), Row(movieId=27611, rating=6.08438777923584), Row(movieId=7842, rating=6.064250946044922), Row(movieId=2513, rating=5.9460601806640625), Row(movieId=6380, rating=5.9169182777404785)]"
5,392,"[Row(movieId=86377, rating=10.133106231689453), Row(movieId=1178, rating=8.26462459564209), Row(movieId=8370, rating=8.132162094116211), Row(movieId=3358, rating=8.116997718811035), Row(movieId=2583, rating=7.889527797698975)]"
6,243,"[Row(movieId=58301, rating=12.282316207885742), Row(movieId=34338, rating=12.239859580993652), Row(movieId=2301, rating=11.955699920654297), Row(movieId=417, rating=11.857476234436035), Row(movieId=5530, rating=11.585176467895508)]"
7,31,"[Row(movieId=1255, rating=8.151611328125), Row(movieId=2672, rating=7.738516807556152), Row(movieId=5621, rating=7.511033058166504), Row(movieId=90888, rating=7.491241455078125), Row(movieId=137857, rating=7.471649646759033)]"
8,516,"[Row(movieId=3503, rating=7.167684555053711), Row(movieId=2290, rating=7.148008346557617), Row(movieId=7842, rating=6.956901550292969), Row(movieId=125, rating=6.675689697265625), Row(movieId=47997, rating=6.486727237701416)]"
9,580,"[Row(movieId=140110, rating=6.406223773956299), Row(movieId=68073, rating=6.391621112823486), Row(movieId=215, rating=6.334695816040039), Row(movieId=130634, rating=6.136904239654541), Row(movieId=27611, rating=6.1219048500061035)]"
10,251,"[Row(movieId=3477, rating=9.541977882385254), Row(movieId=4450, rating=9.411539077758789), Row(movieId=901, rating=9.382502555847168), Row(movieId=1014, rating=9.109227180480957), Row(movieId=125, rating=8.936166763305664)]"
11,451,"[Row(movieId=4450, rating=9.232152938842773), Row(movieId=102481, rating=9.157766342163086), Row(movieId=2843, rating=8.725479125976562), Row(movieId=125, rating=8.60777473449707), Row(movieId=157296, rating=8.364171028137207)]"
